#id	length	GC	avg.qual	sample
SRR23295634.47	1481	49.36	35.58	SRR23295634
SRR23295634.48	1583	52.94	92.82	SRR23295634
SRR23295634.49	1473	54.31	83.20	SRR23295634
SRR23295634.50	1481	49.36	93.00	SRR23295634
SRR23295634.51	1481	49.56	82.65	SRR23295634
SRR23295634.52	1481	49.43	92.34	SRR23295634
SRR23295634.53	1464	57.17	26.67	SRR23295634
SRR23295634.54	1481	49.36	27.81	SRR23295634
SRR23295634.55	1450	51.31	22.50	SRR23295634
SRR23295634.56	1407	56.01	46.48	SRR23295634
SRR23295634.57	1481	49.43	77.44	SRR23295634
SRR23295634.58	1441	57.60	23.51	SRR23295634
SRR23295634.59	1409	39.32	93.00	SRR23295634
SRR23295634.60	1490	50.60	21.22	SRR23295634
SRR23295634.61	1488	50.13	27.32	SRR23295634
SRR23295634.62	1461	56.47	27.03	SRR23295634
SRR23295634.63	1446	59.75	26.82	SRR23295634
SRR23295634.64	1419	51.16	29.62	SRR23295634
SRR23295634.65	1420	56.41	36.66	SRR23295634
SRR23295634.66	1450	57.03	24.76	SRR23295634
SRR23295634.67	1451	55.55	28.07	SRR23295634
SRR23295634.68	1424	59.69	92.91	SRR23295634
SRR23295634.69	1481	49.43	93.00	SRR23295634
SRR23295634.70	1467	55.21	92.64	SRR23295634
SRR23295634.71	1417	57.94	26.05	SRR23295634
SRR23295634.72	1420	51.27	59.09	SRR23295634
SRR23295634.73	1506	51.93	74.71	SRR23295634
SRR23295634.74	1458	56.93	49.54	SRR23295634
SRR23295634.75	1421	56.37	29.63	SRR23295634
SRR23295634.76	1450	57.31	91.85	SRR23295634
SRR23295634.77	1469	55.07	23.63	SRR23295634
SRR23295634.78	1452	55.03	23.31	SRR23295634
SRR23295634.79	1447	55.77	87.74	SRR23295634
SRR23295634.80	1397	58.63	30.33	SRR23295634
SRR23295634.81	1514	50.99	29.06	SRR23295634
SRR23295634.82	1607	48.66	20.28	SRR23295634
SRR23295634.83	1389	56.30	32.34	SRR23295634
SRR23295634.84	1481	49.49	34.40	SRR23295634
SRR23295634.85	1454	55.23	91.80	SRR23295634
SRR23295634.86	1481	49.43	93.00	SRR23295634
SRR23295634.87	1423	50.18	35.50	SRR23295634
SRR23295634.88	1440	53.82	22.13	SRR23295634
SRR23295634.89	1453	58.77	26.97	SRR23295634
SRR23295634.90	1443	52.32	93.00	SRR23295634
SRR23295634.91	1481	49.43	45.13	SRR23295634
SRR23295634.92	1415	51.38	22.72	SRR23295634
SRR23295634.93	1505	51.83	55.77	SRR23295634
SRR23295634.94	1407	55.72	87.72	SRR23295634
SRR23295634.95	1482	49.46	35.94	SRR23295634
SRR23295634.97	1420	51.20	38.08	SRR23295634
SRR23295634.98	1431	55.70	24.98	SRR23295634
SRR23295634.99	1415	56.25	22.06	SRR23295634
SRR23295634.100	1471	49.22	21.90	SRR23295634
SRR23295634.101	1479	51.86	24.71	SRR23295634
SRR23295634.102	1481	49.43	93.00	SRR23295634
SRR23295634.103	1435	54.56	26.36	SRR23295634
SRR23295634.104	1491	57.08	23.81	SRR23295634
SRR23295634.105	1481	49.43	79.60	SRR23295634
SRR23295634.106	1441	59.75	93.00	SRR23295634
SRR23295634.107	1461	59.27	27.27	SRR23295634
SRR23295634.108	1384	55.56	26.22	SRR23295634
SRR23295634.109	1421	52.78	30.26	SRR23295634
SRR23295634.110	1476	59.35	77.16	SRR23295634
SRR23295634.111	1389	56.52	93.00	SRR23295634
SRR23295634.112	1458	53.98	31.23	SRR23295634
SRR23295634.113	1442	56.17	29.65	SRR23295634
SRR23295634.114	1446	55.46	25.98	SRR23295634
SRR23295634.115	1483	55.43	33.15	SRR23295634
SRR23295634.116	1453	52.31	40.88	SRR23295634
SRR23295634.117	880	56.02	24.49	SRR23295634
SRR23295634.118	1444	55.96	23.32	SRR23295634
SRR23295634.119	1440	54.03	37.92	SRR23295634
SRR23295634.120	1470	57.82	21.86	SRR23295634
SRR23295634.121	1481	49.36	37.62	SRR23295634
SRR23295634.122	1482	49.39	35.62	SRR23295634
SRR23295634.123	1483	49.63	39.34	SRR23295634
SRR23295634.124	1481	49.36	31.38	SRR23295634
SRR23295634.125	1484	49.46	31.60	SRR23295634
SRR23295634.126	1449	54.66	61.63	SRR23295634
SRR23295634.127	1460	55.41	34.63	SRR23295634
SRR23295634.128	1424	52.81	92.96	SRR23295634
SRR23295634.129	1486	49.33	21.02	SRR23295634
SRR23295634.130	1481	49.43	40.27	SRR23295634
SRR23295634.131	1470	49.39	26.10	SRR23295634
SRR23295634.132	1474	54.27	35.54	SRR23295634
SRR23295634.134	1482	49.60	69.41	SRR23295634
SRR23295634.135	1456	56.94	20.94	SRR23295634
SRR23295634.136	1428	56.16	38.31	SRR23295634
SRR23295634.137	1447	57.77	26.59	SRR23295634
SRR23295634.138	1448	55.80	47.55	SRR23295634
SRR23295634.139	1481	49.43	41.66	SRR23295634
SRR23295634.140	1475	54.31	31.49	SRR23295634
SRR23295634.141	1437	51.57	26.19	SRR23295634
SRR23295634.142	1444	60.32	84.01	SRR23295634
SRR23295634.143	1506	50.46	26.35	SRR23295634
SRR23295634.144	1446	57.54	21.74	SRR23295634
SRR23295634.145	1447	51.35	32.99	SRR23295634
SRR23295634.146	1438	55.77	24.35	SRR23295634
SRR23295634.147	1481	49.36	44.29	SRR23295634
SRR23295634.148	1485	55.42	32.14	SRR23295634
SRR23295634.149	1424	55.83	22.07	SRR23295634
SRR23295634.150	1411	56.84	28.90	SRR23295634
SRR23295634.151	1452	56.20	22.58	SRR23295634
SRR23295634.152	1481	49.43	38.54	SRR23295634
SRR23295634.153	1446	55.95	33.28	SRR23295634
SRR23295634.154	1481	49.36	88.70	SRR23295634
SRR23295634.155	1480	49.32	33.55	SRR23295634
SRR23295634.156	1472	50.07	20.68	SRR23295634
SRR23295634.157	1481	49.43	42.06	SRR23295634
SRR23295634.158	1422	56.05	22.64	SRR23295634
SRR23295634.159	1476	57.05	23.96	SRR23295634
SRR23295634.160	1467	55.21	93.00	SRR23295634
SRR23295634.161	1436	50.42	30.07	SRR23295634
SRR23295634.162	1492	52.75	92.91	SRR23295634
SRR23295634.163	1455	56.08	23.56	SRR23295634
SRR23295634.164	1393	56.42	25.89	SRR23295634
SRR23295634.165	1481	49.43	65.34	SRR23295634
SRR23295634.166	1479	49.36	33.44	SRR23295634
SRR23295634.167	1481	49.43	33.03	SRR23295634
SRR23295634.168	1438	57.65	49.58	SRR23295634
SRR23295634.169	1481	49.56	29.11	SRR23295634
SRR23295634.170	1396	52.36	23.35	SRR23295634
SRR23295634.171	1448	54.97	67.00	SRR23295634
SRR23295634.172	1410	50.92	69.46	SRR23295634
SRR23295634.173	1475	54.17	73.16	SRR23295634
SRR23295634.174	1481	49.70	37.75	SRR23295634
SRR23295634.175	1460	55.62	26.34	SRR23295634
SRR23295634.176	1445	56.89	43.96	SRR23295634
SRR23295634.177	1412	54.46	30.65	SRR23295634
SRR23295634.178	1482	49.46	34.77	SRR23295634
SRR23295634.179	1482	49.46	38.06	SRR23295634
SRR23295634.180	1411	55.35	20.18	SRR23295634
SRR23295634.181	1434	51.26	93.00	SRR23295634
SRR23295634.182	1422	52.18	24.01	SRR23295634
SRR23295634.183	1448	55.25	42.18	SRR23295634
SRR23295634.184	1423	56.92	93.00	SRR23295634
SRR23295634.185	1481	49.43	93.00	SRR23295634
SRR23295634.186	1391	56.58	22.67	SRR23295634
SRR23295634.187	1415	51.10	27.25	SRR23295634
SRR23295634.188	1476	54.40	21.86	SRR23295634
SRR23295634.189	1481	49.43	32.24	SRR23295634
SRR23295634.190	1482	49.46	24.46	SRR23295634
SRR23295634.191	1474	54.27	40.27	SRR23295634
SRR23295634.192	1474	54.34	32.34	SRR23295634
SRR23295634.193	1482	49.53	70.11	SRR23295634
SRR23295634.194	1443	55.72	30.63	SRR23295634
SRR23295634.195	1458	57.48	78.95	SRR23295634
SRR23295634.196	1427	52.70	93.00	SRR23295634
SRR23295634.197	1484	54.31	26.14	SRR23295634
SRR23295634.198	1445	57.79	34.29	SRR23295634
SRR23295634.199	1419	55.74	91.69	SRR23295634
SRR23295634.200	1474	56.38	24.40	SRR23295634
SRR23295634.201	1481	49.29	68.69	SRR23295634
SRR23295634.202	1488	49.26	24.86	SRR23295634
SRR23295634.203	1482	49.46	29.80	SRR23295634
SRR23295634.204	1482	49.39	92.97	SRR23295634
SRR23295634.205	1423	56.36	65.50	SRR23295634
SRR23295634.206	1406	56.47	93.00	SRR23295634
SRR23295634.207	1475	54.31	41.88	SRR23295634
SRR23295634.208	1428	55.67	68.42	SRR23295634
SRR23295634.209	1457	55.04	51.78	SRR23295634
SRR23295634.210	1481	49.29	28.25	SRR23295634
SRR23295634.211	1458	58.09	83.97	SRR23295634
SRR23295634.212	1451	59.34	55.55	SRR23295634
SRR23295634.213	1430	56.22	35.29	SRR23295634
SRR23295634.214	1385	56.53	33.02	SRR23295634
SRR23295634.215	1481	54.29	26.87	SRR23295634
SRR23295634.216	1385	56.03	93.00	SRR23295634
SRR23295634.217	1477	56.40	20.70	SRR23295634
SRR23295634.218	1488	49.60	28.08	SRR23295634
SRR23295634.219	1490	53.56	27.51	SRR23295634
SRR23295634.220	1408	56.11	33.77	SRR23295634
SRR23295634.221	1389	56.66	25.73	SRR23295634
SRR23295634.222	1483	49.49	25.86	SRR23295634
SRR23295634.223	1481	49.43	93.00	SRR23295634
SRR23295634.224	1481	49.43	32.00	SRR23295634
SRR23295634.225	1460	55.68	65.99	SRR23295634
SRR23295634.226	1481	49.36	93.00	SRR23295634
SRR23295634.227	1480	49.39	34.53	SRR23295634
SRR23295634.228	1480	49.39	46.70	SRR23295634
SRR23295634.229	1445	58.82	30.62	SRR23295634
SRR23295634.230	1484	49.66	36.60	SRR23295634
SRR23295634.231	1481	49.43	56.82	SRR23295634
SRR23295634.232	1407	57.50	30.91	SRR23295634
SRR23295634.233	1503	55.49	22.49	SRR23295634
SRR23295634.234	1481	49.49	30.76	SRR23295634
SRR23295634.235	1469	52.48	85.69	SRR23295634
SRR23295634.236	1483	49.43	31.84	SRR23295634
SRR23295634.237	1427	55.64	93.00	SRR23295634
SRR23295634.238	1482	49.53	62.70	SRR23295634
SRR23295634.239	1485	49.56	28.18	SRR23295634
SRR23295634.240	1480	55.68	35.90	SRR23295634
SRR23295634.241	1449	55.83	52.02	SRR23295634
SRR23295634.242	1458	57.54	90.93	SRR23295634
SRR23295634.243	1453	59.33	25.90	SRR23295634
SRR23295634.244	1481	49.43	81.39	SRR23295634
SRR23295634.245	1483	50.17	32.33	SRR23295634
SRR23295634.246	1455	57.25	33.58	SRR23295634
SRR23295634.247	1445	55.50	44.35	SRR23295634
SRR23295634.248	1442	52.36	29.93	SRR23295634
SRR23295634.249	1443	57.38	23.20	SRR23295634
SRR23295634.250	1472	49.66	20.66	SRR23295634
SRR23295634.251	1491	49.63	32.37	SRR23295634
SRR23295634.252	1451	57.27	33.08	SRR23295634
SRR23295634.253	1493	52.44	23.58	SRR23295634
SRR23295634.254	1481	49.63	62.70	SRR23295634
SRR23295634.255	1480	49.32	35.29	SRR23295634
SRR23295634.256	1414	58.27	74.44	SRR23295634
SRR23295634.257	1494	51.54	27.00	SRR23295634
SRR23295634.258	1448	58.70	24.47	SRR23295634
SRR23295634.259	1459	53.60	32.90	SRR23295634
SRR23295634.260	1450	56.83	47.71	SRR23295634
SRR23295634.261	1451	57.48	23.71	SRR23295634
SRR23295634.262	1481	49.43	75.70	SRR23295634
SRR23295634.263	1491	49.30	21.81	SRR23295634
SRR23295634.264	1487	50.37	28.02	SRR23295634
SRR23295634.265	1481	49.36	39.53	SRR23295634
SRR23295634.266	1474	54.34	77.65	SRR23295634
SRR23295634.267	1454	58.46	21.25	SRR23295634
SRR23295634.268	1444	54.43	26.73	SRR23295634
SRR23295634.269	1452	57.09	29.22	SRR23295634
SRR23295634.270	1489	49.36	22.95	SRR23295634
SRR23295634.271	1441	58.36	36.95	SRR23295634
SRR23295634.272	1497	49.43	23.45	SRR23295634
SRR23295634.273	1481	49.49	79.95	SRR23295634
SRR23295634.274	1447	52.87	27.19	SRR23295634
SRR23295634.275	1422	51.20	36.44	SRR23295634
SRR23295634.276	1436	54.94	28.98	SRR23295634
SRR23295634.277	1396	52.22	64.31	SRR23295634
SRR23295634.278	1480	49.39	34.13	SRR23295634
SRR23295634.279	1452	57.02	22.58	SRR23295634
SRR23295634.280	1516	50.86	38.60	SRR23295634
SRR23295634.281	1477	49.49	25.82	SRR23295634
SRR23295634.282	1481	49.43	92.65	SRR23295634
SRR23295634.283	1481	49.43	83.27	SRR23295634
SRR23295634.284	1463	50.51	28.24	SRR23295634
SRR23295634.285	1410	54.75	93.00	SRR23295634
SRR23295634.286	1467	52.83	92.15	SRR23295634
SRR23295634.287	1474	54.21	28.93	SRR23295634
SRR23295634.288	1473	57.23	23.50	SRR23295634
SRR23295634.289	1481	49.43	71.41	SRR23295634
SRR23295634.290	1451	51.62	51.52	SRR23295634
SRR23295634.291	1480	49.32	34.57	SRR23295634
SRR23295634.292	1476	54.95	30.39	SRR23295634
SRR23295634.293	1481	49.56	92.95	SRR23295634
SRR23295634.294	1481	49.43	55.38	SRR23295634
SRR23295634.295	1447	57.71	20.17	SRR23295634
SRR23295634.296	1466	54.23	25.37	SRR23295634
SRR23295634.297	1414	55.30	43.97	SRR23295634
SRR23295634.298	1481	50.84	35.75	SRR23295634
SRR23295634.299	1481	49.49	93.00	SRR23295634
SRR23295634.300	1453	57.05	93.00	SRR23295634
SRR23295634.301	1447	55.49	33.46	SRR23295634
SRR23295634.302	1453	57.47	92.77	SRR23295634
SRR23295634.303	1458	57.27	27.03	SRR23295634
SRR23295634.304	1485	49.43	35.18	SRR23295634
SRR23295634.305	1481	49.36	37.71	SRR23295634
SRR23295634.306	1421	56.30	33.34	SRR23295634
SRR23295634.307	1444	57.20	33.22	SRR23295634
SRR23295634.308	1471	49.49	23.01	SRR23295634
SRR23295634.309	1457	57.17	38.13	SRR23295634
SRR23295634.310	1449	56.94	92.81	SRR23295634
SRR23295634.311	1441	58.36	22.95	SRR23295634
SRR23295634.312	1482	49.33	89.55	SRR23295634
SRR23295634.313	1496	49.87	22.62	SRR23295634
SRR23295634.314	1481	49.43	35.34	SRR23295634
SRR23295634.315	1481	49.43	56.70	SRR23295634
SRR23295634.316	1485	55.49	26.84	SRR23295634
SRR23295634.317	1434	55.65	28.30	SRR23295634
SRR23295634.318	1445	56.68	36.00	SRR23295634
SRR23295634.319	1481	49.49	92.96	SRR23295634
SRR23295634.320	1427	56.34	91.69	SRR23295634
SRR23295634.321	1458	57.27	87.99	SRR23295634
SRR23295634.322	1440	57.50	92.53	SRR23295634
SRR23295634.323	1496	53.74	27.25	SRR23295634
SRR23295634.324	1393	51.11	89.56	SRR23295634
SRR23295634.325	1408	56.18	27.52	SRR23295634
SRR23295634.327	1421	51.72	93.00	SRR23295634
SRR23295634.328	1474	55.36	27.16	SRR23295634
SRR23295634.329	1482	49.60	51.71	SRR23295634
SRR23295634.330	1476	54.67	75.60	SRR23295634
SRR23295634.331	1471	49.76	23.97	SRR23295634
SRR23295634.332	1479	52.13	23.23	SRR23295634
SRR23295634.333	1402	58.35	45.44	SRR23295634
SRR23295634.334	1448	50.48	47.86	SRR23295634
SRR23295634.335	1481	49.36	93.00	SRR23295634
SRR23295634.336	1453	55.54	25.39	SRR23295634
SRR23295634.337	1423	52.85	21.90	SRR23295634
SRR23295634.338	1438	56.54	30.22	SRR23295634
SRR23295634.339	1485	55.42	37.89	SRR23295634
SRR23295634.340	1481	49.63	40.37	SRR23295634
SRR23295634.341	1474	51.83	91.45	SRR23295634
SRR23295634.342	1445	53.91	92.36	SRR23295634
SRR23295634.343	1483	49.43	55.64	SRR23295634
SRR23295634.344	1481	49.43	31.53	SRR23295634
SRR23295634.345	1449	51.35	36.57	SRR23295634
SRR23295634.347	1419	55.46	25.41	SRR23295634
SRR23295634.348	1448	56.22	44.29	SRR23295634
SRR23295634.349	1481	49.36	45.30	SRR23295634
SRR23295634.350	1445	55.85	27.31	SRR23295634
SRR23295634.351	1466	57.37	21.36	SRR23295634
SRR23295634.352	1480	49.32	36.49	SRR23295634
SRR23295634.353	1384	56.65	33.85	SRR23295634
SRR23295634.354	1474	54.41	91.40	SRR23295634
SRR23295634.355	1429	55.21	25.94	SRR23295634
SRR23295634.356	1460	56.30	57.42	SRR23295634
SRR23295634.357	1513	51.95	22.70	SRR23295634
SRR23295634.358	1409	54.65	32.19	SRR23295634
SRR23295634.359	1495	49.83	24.30	SRR23295634
SRR23295634.360	1436	58.08	22.17	SRR23295634
SRR23295634.361	1407	56.01	38.75	SRR23295634
SRR23295634.362	1483	49.43	36.70	SRR23295634
SRR23295634.363	1459	57.64	25.82	SRR23295634
SRR23295634.364	1423	50.18	93.00	SRR23295634
SRR23295634.365	1481	49.49	92.64	SRR23295634
SRR23295634.366	1454	56.05	27.31	SRR23295634
SRR23295634.367	1477	56.26	22.64	SRR23295634
SRR23295634.368	1473	52.61	20.78	SRR23295634
SRR23295634.369	1481	49.36	92.98	SRR23295634
SRR23295634.370	1421	52.01	83.19	SRR23295634
SRR23295634.371	1474	54.34	73.51	SRR23295634
SRR23295634.373	1426	52.59	31.47	SRR23295634
SRR23295634.374	1515	51.49	24.10	SRR23295634
SRR23295634.375	1482	49.26	33.69	SRR23295634
SRR23295634.376	1482	49.26	40.55	SRR23295634
SRR23295634.377	1460	56.16	25.47	SRR23295634
SRR23295634.378	1483	49.36	29.59	SRR23295634
SRR23295634.379	1481	49.43	72.67	SRR23295634
SRR23295634.380	1504	54.32	25.32	SRR23295634
SRR23295634.381	1403	56.59	24.02	SRR23295634
SRR23295634.382	1390	56.62	43.50	SRR23295634
SRR23295634.383	1478	49.39	23.63	SRR23295634
SRR23295634.384	1424	54.14	73.65	SRR23295634
SRR23295634.385	1459	55.86	36.21	SRR23295634
SRR23295634.386	1455	57.66	27.54	SRR23295634
SRR23295634.387	1481	49.43	93.00	SRR23295634
SRR23295634.388	1444	55.26	20.31	SRR23295634
SRR23295634.389	1438	52.71	81.28	SRR23295634
SRR23295634.390	1484	49.46	32.15	SRR23295634
SRR23295634.391	1480	49.32	29.23	SRR23295634
SRR23295634.392	1481	49.43	61.00	SRR23295634
SRR23295634.393	1423	52.00	25.55	SRR23295634
SRR23295634.394	1481	49.56	32.79	SRR23295634
SRR23295634.395	1484	49.39	27.70	SRR23295634
SRR23295634.396	1483	49.49	35.71	SRR23295634
SRR23295634.397	1473	54.24	37.68	SRR23295634
SRR23295634.398	1481	49.36	37.75	SRR23295634
SRR23295634.399	1455	55.53	93.00	SRR23295634
SRR23295634.400	1416	51.69	25.04	SRR23295634
SRR23295634.401	1405	54.52	26.98	SRR23295634
SRR23295634.402	1447	55.84	21.40	SRR23295634
SRR23295634.405	1482	49.33	31.76	SRR23295634
SRR23295634.406	1465	52.08	24.13	SRR23295634
SRR23295634.407	1386	54.76	29.23	SRR23295634
SRR23295634.408	1427	54.38	23.37	SRR23295634
SRR23295634.409	1481	49.43	80.46	SRR23295634
SRR23295634.410	1432	52.51	39.57	SRR23295634
SRR23295634.411	1454	56.67	23.13	SRR23295634
SRR23295634.412	1420	55.92	30.39	SRR23295634
SRR23295634.413	1445	51.83	41.99	SRR23295634
SRR23295634.414	1481	49.43	53.70	SRR23295634
SRR23295634.415	1477	50.10	27.66	SRR23295634
SRR23295634.416	1481	49.43	49.36	SRR23295634
SRR23295634.417	1407	56.79	92.90	SRR23295634
SRR23295634.418	1475	54.31	27.68	SRR23295634
SRR23295634.419	1481	49.43	56.97	SRR23295634
SRR23295634.420	1481	49.29	68.69	SRR23295634
SRR23295634.421	1475	54.78	26.03	SRR23295634
SRR23295634.422	1442	58.04	93.00	SRR23295634
SRR23295634.423	1458	55.35	24.61	SRR23295634
SRR23295634.424	1424	58.36	76.94	SRR23295634
SRR23295634.425	1477	49.36	27.45	SRR23295634
SRR23295634.426	1387	56.60	20.77	SRR23295634
SRR23295634.427	1408	54.90	78.84	SRR23295634
SRR23295634.428	1476	49.32	26.14	SRR23295634
SRR23295634.429	1481	49.36	32.75	SRR23295634
SRR23295634.430	1455	57.18	22.47	SRR23295634
SRR23295634.431	1479	49.36	23.27	SRR23295634
SRR23295634.432	1475	54.64	30.44	SRR23295634
SRR23295634.433	1495	58.46	81.04	SRR23295634
SRR23295634.434	1423	52.78	48.53	SRR23295634
SRR23295634.435	1445	59.03	26.35	SRR23295634
SRR23295634.436	1481	49.43	62.30	SRR23295634
SRR23295634.437	1428	56.16	33.43	SRR23295634
SRR23295634.438	1481	49.43	93.00	SRR23295634
SRR23295634.439	1489	51.65	42.95	SRR23295634
SRR23295634.440	1447	56.12	35.86	SRR23295634
SRR23295634.441	1420	56.20	26.62	SRR23295634
SRR23295634.442	1482	49.33	77.86	SRR23295634
SRR23295634.443	1479	49.49	35.61	SRR23295634
SRR23295634.444	1491	50.77	22.53	SRR23295634
SRR23295634.445	1458	57.61	26.85	SRR23295634
SRR23295634.446	1479	49.36	23.67	SRR23295634
SRR23295634.447	1480	49.39	51.70	SRR23295634
SRR23295634.448	1481	49.43	90.75	SRR23295634
SRR23295634.449	1486	49.66	21.82	SRR23295634
SRR23295634.450	1471	54.04	31.68	SRR23295634
SRR23295634.451	1481	49.36	56.70	SRR23295634
SRR23295634.452	1457	50.58	93.00	SRR23295634
SRR23295634.453	1387	55.95	36.41	SRR23295634
SRR23295634.454	1480	49.46	32.03	SRR23295634
SRR23295634.455	1472	57.47	21.94	SRR23295634
SRR23295634.456	1482	49.39	32.55	SRR23295634
SRR23295634.457	1480	49.39	39.70	SRR23295634
SRR23295634.458	1481	49.36	67.69	SRR23295634
SRR23295634.459	1481	49.36	62.44	SRR23295634
SRR23295634.461	1480	49.59	37.01	SRR23295634
SRR23295634.462	1410	56.81	41.24	SRR23295634
SRR23295634.463	1458	56.86	93.00	SRR23295634
SRR23295634.464	1453	57.47	93.00	SRR23295634
SRR23295634.465	1490	50.00	21.00	SRR23295634
SRR23295634.466	1446	54.98	58.63	SRR23295634
SRR23295634.467	1481	49.29	51.23	SRR23295634
SRR23295634.468	1481	49.43	93.00	SRR23295634
SRR23295634.469	1484	49.60	33.65	SRR23295634
SRR23295634.470	1487	51.45	36.72	SRR23295634
SRR23295634.471	1481	49.29	26.01	SRR23295634
SRR23295634.472	1480	49.46	28.83	SRR23295634
SRR23295634.473	1482	49.39	57.51	SRR23295634
SRR23295634.474	1423	53.69	27.49	SRR23295634
SRR23295634.475	1480	49.39	33.25	SRR23295634
SRR23295634.476	1480	49.53	36.85	SRR23295634
SRR23295634.477	1482	49.53	93.00	SRR23295634
SRR23295634.478	1421	50.74	93.00	SRR23295634
SRR23295634.480	1483	49.36	30.52	SRR23295634
SRR23295634.481	1482	49.39	44.27	SRR23295634
SRR23295634.482	1452	56.96	30.78	SRR23295634
SRR23295634.483	1449	56.18	57.40	SRR23295634
SRR23295634.484	1485	54.68	21.66	SRR23295634
SRR23295634.485	1479	49.43	43.29	SRR23295634
SRR23295634.486	1487	50.24	25.67	SRR23295634
SRR23295634.487	1485	50.44	20.61	SRR23295634
SRR23295634.488	1481	51.72	20.00	SRR23295634
SRR23295634.489	1464	54.10	22.68	SRR23295634
SRR23295634.490	1480	49.46	39.96	SRR23295634
SRR23295634.491	1410	56.03	24.66	SRR23295634
SRR23295634.492	1453	57.05	93.00	SRR23295634
SRR23295634.493	1432	55.94	20.51	SRR23295634
SRR23295634.494	1446	57.61	41.25	SRR23295634
SRR23295634.495	1481	49.56	91.41	SRR23295634
SRR23295634.496	1479	49.56	26.48	SRR23295634
SRR23295634.497	1463	57.35	25.16	SRR23295634
SRR23295634.498	1484	55.26	92.77	SRR23295634
SRR23295634.499	1454	54.81	20.39	SRR23295634
SRR23295634.500	1484	55.46	93.00	SRR23295634
SRR23295634.501	1446	56.71	34.76	SRR23295634
SRR23295634.502	1450	56.34	24.57	SRR23295634
SRR23295634.503	1447	56.19	47.13	SRR23295634
SRR23295634.504	1481	49.29	41.71	SRR23295634
SRR23295634.505	1534	54.37	21.92	SRR23295634
SRR23295634.506	1482	49.46	39.69	SRR23295634
SRR23295634.507	1481	49.56	90.11	SRR23295634
SRR23295634.508	1449	56.25	93.00	SRR23295634
SRR23295634.509	1481	49.29	53.71	SRR23295634
SRR23295634.510	1419	56.17	32.01	SRR23295634
SRR23295634.511	1429	54.65	37.87	SRR23295634
SRR23295634.512	1481	49.43	63.94	SRR23295634
SRR23295634.513	1453	52.31	93.00	SRR23295634
SRR23295634.514	1395	55.84	93.00	SRR23295634
SRR23295634.515	1447	55.77	92.98	SRR23295634
SRR23295634.516	1451	56.03	22.08	SRR23295634
SRR23295634.517	1472	51.90	35.95	SRR23295634
SRR23295634.518	1466	52.39	24.74	SRR23295634
SRR23295634.519	1481	49.56	74.62	SRR23295634
SRR23295634.520	1481	49.43	37.70	SRR23295634
SRR23295634.521	1477	49.63	26.34	SRR23295634
SRR23295634.522	1483	49.36	25.11	SRR23295634
SRR23295634.523	1481	49.36	92.99	SRR23295634
SRR23295634.524	1481	49.49	35.68	SRR23295634
SRR23295634.525	1480	49.32	28.89	SRR23295634
SRR23295634.526	1411	39.33	45.44	SRR23295634
